Year,Coal (% electricity),Gas (% electricity),Hydro (% electricity),Solar (% electricity),Wind (% electricity),Oil (% electricity),Nuclear (% electricity),Other renewables including bioenergy (% electricity)
1985,,,51.763,0.0,0.004,,42.702,1.314
1986,,,43.947,0.0,0.004,,50.451,1.428
1987,,,49.023,0.0,0.004,,45.974,1.337
1988,,,47.79,0.0,0.003,,47.476,1.396
1989,,,50.143,0.0,0.003,,45.847,1.53
1990,0.74,0.288,49.664,0.0,0.007,1.267,46.705,1.329
1991,1.334,0.395,43.029,0.0,0.007,1.742,52.228,1.266
1992,1.233,0.541,50.935,0.0,0.021,2.35,43.541,1.377
1993,1.432,0.626,51.391,0.0,0.034,2.754,42.269,1.494
1994,1.829,0.603,41.416,0.0,0.049,3.273,51.268,1.563
1995,1.531,0.573,45.927,0.0,0.067,3.156,47.161,1.585
1996,2.624,0.484,36.797,0.0,0.1,5.668,52.82,1.508
1997,1.347,0.442,46.284,0.0,0.134,3.069,46.867,1.856
1998,1.285,0.334,47.232,0.0,0.202,2.859,46.338,1.751
1999,1.447,0.291,46.299,0.0,0.232,2.719,47.268,1.744
2000,1.129,0.331,54.107,0.0,0.317,1.825,39.468,2.823
2001,1.163,0.248,48.923,0.0,0.297,2.407,44.623,2.339
2002,1.616,0.382,45.235,0.0,0.416,3.074,46.428,2.849
2003,2.105,0.539,39.545,0.0,0.502,4.181,49.797,3.331
2004,0.666,0.514,39.633,0.0,0.567,2.789,51.084,4.747
2005,0.41,0.379,45.968,0.0,0.594,2.216,45.703,4.729
2006,0.614,0.419,43.076,0.0,0.684,2.624,46.748,5.835
2007,0.437,0.558,44.456,0.0,0.961,1.976,45.001,6.612
2008,0.34,0.414,46.077,0.0,1.334,2.315,42.622,6.898
2009,0.373,1.142,48.206,0.007,1.823,1.867,38.192,8.389
2010,0.687,1.96,44.729,0.007,2.351,3.099,38.956,8.212
2011,0.439,1.051,44.204,0.007,4.066,2.316,40.238,7.679
2012,0.288,0.553,47.425,0.012,4.302,1.616,38.479,7.324
2013,0.425,0.555,40.097,0.026,6.43,1.555,43.429,7.482
2014,0.241,0.274,41.524,0.033,7.314,1.394,42.253,6.968
2015,0.241,0.278,46.488,0.062,10.074,1.426,34.784,6.648
2016,0.167,0.436,39.784,0.09,9.93,1.745,40.477,7.371
2017,0.195,0.201,39.664,0.14,10.723,1.717,40.005,7.356
2018,0.208,0.233,38.082,0.251,10.174,1.8,41.963,7.291
2019,0.125,0.172,38.814,0.404,11.786,1.692,39.265,7.743
2020,0.0,0.061,44.197,0.641,16.808,1.429,30.038,6.826
2021,0.0,0.058,42.965,0.614,15.964,1.368,31.239,7.792
